scientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year,month,day,depth,depthAccuracy,basisOfRecord,issue,source
Steindachneria argentea,35.856667,-74.86,NA,2000,5,27,142,0,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_UNCERTAINTY_METERS_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,10.508333,-85.258333,115000,1973,12,6,NA,NA,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,7.741667,-56.875,115000,1957,11,6,365.76,0,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,29.158333,-88.191667,115000,1961,10,8,411.48,0,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,10.5175,-64.600556,NA,1962,5,6,300,300,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_UNCERTAINTY_METERS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,29.041667,-88.575,115000,1962,10,27,NA,NA,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,29.191667,-88.191667,NA,1962,11,23,274.32,0,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_UNCERTAINTY_METERS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,10.5175,-64.600556,NA,1962,5,6,300,300,PRESERVED_SPECIMEN,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_UNCERTAINTY_METERS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,GBIF
Steindachneria argentea,6.539722,-67.39584,NA,1994,5,20,1.5,0.5,PRESERVED_SPECIMEN,,GBIF
Steindachneria argentea,28.65833,-90.11166,NA,1998,7,14,80,0,PRESERVED_SPECIMEN,COUNTRY_DERIVED_FROM_COORDINATES,GBIF
